DWA ID,y_pred,uncertainty
4.A.1.a.1.I01.D01,2.3432290661256046,0.6683932026178896
4.A.1.a.1.I01.D04,1.6473059222331576,0.6122911313917578
4.A.1.a.1.I02.D08,3.1413956626661577,0.6194284443359717
4.A.1.a.1.I02.D09,2.8133195256604067,0.581371315311892
4.A.1.a.1.I02.D10,3.082337632674451,0.5917663691132606
4.A.1.a.1.I02.D13,2.4975613329614315,0.5991226852642688
4.A.1.a.1.I04.D01,3.0615716774217936,0.6806527630628949
4.A.1.a.1.I05.D02,2.0042378110913237,0.6146176469022553
4.A.1.a.1.I06.D02,2.385131064906858,0.6400729534196365
4.A.1.a.1.I12.D04,1.6193363566732295,0.5925753789774468
4.A.1.a.1.I14.D02,3.1861407612830193,0.5951999193138491
4.A.1.a.1.I20.D04,2.725406225066622,0.6100095085835928
4.A.1.a.1.I23.D06,2.801540828377726,0.6297769182138229
4.A.1.a.1.I23.D07,1.641277181715921,0.5968453339697657
4.A.1.a.1.I23.D08,1.7665219964753616,0.5809932656502368
4.A.1.a.2.I01.D05,3.3394784418752117,0.5844702958575283
4.A.1.a.2.I01.D07,3.354747966486676,0.5883976422864432
4.A.1.a.2.I01.D10,3.541123055902676,0.5853223739513052
4.A.1.a.2.I01.D12,2.836314228043755,0.648959175459046
4.A.1.a.2.I02.D06,3.0109163904379637,0.6210751799963461
4.A.1.a.2.I02.D10,2.993006268603214,0.6374504816809399
4.A.1.a.2.I02.D12,2.9995793517000418,0.606319637633332
4.A.1.a.2.I05.D02,1.7867873799555816,0.5835072767531395
4.A.1.a.2.I05.D07,2.741758751730159,0.5999132163915322
4.A.1.a.2.I06.D03,1.8229903792322641,0.5670854288140958
4.A.1.a.2.I06.D04,1.7134658481859355,0.5763789339681695
4.A.1.a.2.I06.D05,1.7851278084943902,0.5687090612783039
4.A.1.a.2.I06.D06,2.2594831797136896,0.6004252034642237
4.A.1.a.2.I06.D07,1.7068868690707713,0.5779169413773855
4.A.1.a.2.I07.D02,2.6228987015148135,0.6173533080965132
4.A.1.a.2.I07.D04,2.515195153163129,0.6206782850342707
4.A.1.a.2.I07.D07,2.5722586992525858,0.6253727167431853
4.A.1.a.2.I07.D13,2.499936513089062,0.638703470562966
4.A.1.a.2.I09.D05,2.2645552510960147,0.6632783165723168
4.A.1.a.2.I11.D07,1.6425816738676469,0.6379089068293231
4.A.1.b.1.I01.D03,3.5235281675399683,0.6013944814160421
4.A.1.b.1.I01.D04,3.6725876472684638,0.5867858833595108
4.A.1.b.2.I03.D01,3.003927720605277,0.6088896515081217
4.A.1.b.2.I04.D01,3.2216120981820104,0.6301275997314573
4.A.1.b.2.I05.D01,2.7799013799596404,0.5953571095354562
4.A.1.b.2.I05.D03,2.637486245614216,0.5947285667262792
4.A.1.b.2.I05.D05,2.27137251280364,0.6648458220213911
4.A.1.b.2.I05.D11,2.489136694527508,0.6189575367092877
4.A.1.b.2.I05.D12,2.3618490388590025,0.6247051805005119
4.A.1.b.2.I06.D05,3.4352578168028414,0.6050478155982191
4.A.1.b.2.I06.D09,2.7020433057038904,0.6176381582707213
4.A.1.b.2.I06.D12,2.491658594152385,0.6334627549613643
4.A.1.b.2.I06.D17,2.8961453144942713,0.5976242009814783
4.A.1.b.2.I07.D01,2.4644372259573784,0.6379042384824567
4.A.1.b.2.I07.D05,3.099197183555475,0.6457991362351017
4.A.1.b.2.I07.D14,2.5296194143368944,0.5903551890110226
4.A.1.b.2.I07.D15,3.2133760760265897,0.5890728409999344
4.A.1.b.2.I09.D02,3.072131463247779,0.6527674080597112
4.A.1.b.2.I10.D01,3.641342763836771,0.5960575261347572
4.A.1.b.2.I12.D01,2.9975437465442676,0.6455154019349649
4.A.1.b.2.I12.D06,2.630683524383249,0.6083366753713895
4.A.1.b.2.I12.D09,2.760378446001659,0.601090386781201
4.A.1.b.3.I01.D11,3.5505914180313614,0.59631960969533
4.A.1.b.3.I01.D12,3.593200281174743,0.5830697775085767
4.A.1.b.3.I01.D16,2.8609777982273235,0.5841643498073221
4.A.1.b.3.I04.D02,2.910947656236079,0.5802092170190516
4.A.2.a.1.I03.D01,1.8574505065581848,0.5947098280241807
4.A.2.a.1.I03.D02,1.5483745000003004,0.5689429504693333
4.A.2.a.1.I03.D04,1.5239375936944928,0.5726383749545318
4.A.2.a.1.I04.D04,2.15335916740231,0.5695239805957923
4.A.2.a.1.I09.D02,2.8756398556693723,0.617436349729994
4.A.2.a.2.I01.D01,3.0708268255755335,0.5913797337881004
4.A.2.a.2.I01.D09,3.684907780613541,0.6130614932127791
4.A.2.a.2.I02.D02,3.30385517030646,0.6074336727155334
4.A.2.a.2.I02.D05,3.6782195655425127,0.5900805245284939
4.A.2.a.2.I03.D03,3.40654402987371,0.6000118296077055
4.A.2.a.2.I04.D02,2.9216430262359205,0.6121836087880901
4.A.2.a.2.I05.D04,3.240178176616353,0.6197386222009289
4.A.2.a.3.I01.D04,2.640583649802343,0.5892020922456469
4.A.2.a.3.I04.D02,2.9777745457452776,0.6008852687222319
4.A.2.a.4.I02.D04,3.084205619353474,0.5952121548273919
